Username,Timestamp,Content
@WCheleA,2024-07-03T13:56:20.000Z,"Portoviejo
 Pensé que en mi vida había visto todo pasó  en HOSPITAL VERDI CEVALLOS  enfermera tuvo  la poca amabilidad de atender a un niño que había sido atropellado y tenía una gran protuberancia en la cabeza lo tuvo en sala de espera 3 horas sin atención  
@Salud_Ec
 de Salud"
@ecuaplomodolor,2024-06-12T23:50:28.000Z,"PORTOVIEJO 

Hace poco acaban de APUÑALAR a un ESTUDIANTE del COLEGIO PORTOVIEJO, el estudiante fue trasladado al HOSPITAL VERDI CEVALLOS."
@RComunitariosEc,2024-06-12T22:48:51.000Z,"Ya ahora nuestros adolescentes y jóvenes estudiantes? 
@Educacion_Ec
Estudiante fue apuñalado tras pelea en colegio #Portoviejo, fue trasladado de inmediato al hospital Regional Verdi Cevallos 

Noticia en Desarrollo 

#RMCEc
@JuankBanda593"
@jeancastilloma,2024-05-02T11:55:21.000Z,"Hospital especialidades Portoviejo, repotenciacion verdi Cevallos, Puerto pesquero varios, mejoramiento vial, via manta ampliada, via alterna a manta construida, hospital Chone se usó con esos fondos, bahía. Ahora el Novita con mismo presupuesto que correa no hace nada."
@HospitalVerdi,2024-04-30T22:36:20.000Z,"""Se trata de un quiste epidermoide también conocido como colesteatoma cerebral"" explica el médico Kléver Sornoza, neurocirujano del Hospital Verdi Cevallos, y quien lideró el procedimiento quirúrgico. 2/6"
@HospitalVerdi,2024-04-29T18:18:40.000Z,"Mención especial llevaron los profesionales con más 30 años de labores ininterrumpidas, a quienes con medallas y emotivos aplausos, el emblemático Verdi Cevallos, abrazó y reconoció. 2/4"
@HospitalVerdi,2024-04-29T17:56:53.000Z,"#ElNuevoEcuador | Bienvenidos al emblemático Verdi Cevallos 

Internos rotativos de las carreras de medicina, enfermería y nutrición de las universidades de la región, iniciaron hoy su proceso de inducción previó al comienzo de sus actividades intrahospitalarias. 1/2"
@HospitalVerdi,2024-02-15T20:22:59.000Z,"#EstoEsEcuador | Valentín y Valentina nacieron este 14 de febrero en el Verdi Cevallos 

Diego Valentín y Cloe Valentina llegaron al mundo este 14 de febrero, día de San Valentín, en el Centro Obstetrico del 
@HospitalVerdi
. 1/5"
@Christo61275715,2024-02-13T15:39:25.000Z,"Seleccionado en el mandato de José Verdi Cevallos, los dos fuera del cargo  lo pide el #puebloecuatoriano https://x.com/PEWM595850/sta/PEWM595850/status/1757082473928728713…"
@sofiacedenom,2024-02-03T19:01:03.000Z,Lo mismo en el Verdi Cevallos! La otra vez un guardia me sacó del estacionamiento y nisiquiera me dejó entrar caminando por la puerta en la que él estaba obligándome a ir hasta la entrada peatonal caminando :/
