"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta/726911277379431_853917663441584";"949";"869";"1";"726911277379431_853917663441584";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:22:08+0000";"";"";""
"HRZManta/726911277379431_853917663441584/726911277379431_853917663441584";"1146";"949";"2";"726911277379431_853917663441584";"empty";"";"fetched (200)";"2024-06-08 21:23:45.661899";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917663441584/726911277379431_853917663441584";"1147";"949";"2";"726911277379431_853917663441584";"offcut";"";"fetched (200)";"2024-06-08 21:23:45.661899";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917606774923";"950";"869";"1";"726911277379431_853917606774923";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:22:04+0000";"";"";""
"HRZManta/726911277379431_853917606774923/726911277379431_853917606774923";"1148";"950";"2";"726911277379431_853917606774923";"empty";"";"fetched (200)";"2024-06-08 21:23:46.038849";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917606774923/726911277379431_853917606774923";"1149";"950";"2";"726911277379431_853917606774923";"offcut";"";"fetched (200)";"2024-06-08 21:23:46.038849";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917503441600";"951";"869";"1";"726911277379431_853917503441600";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:21:57+0000";"";"";""
"HRZManta/726911277379431_853917503441600/726911277379431_853917503441600";"1150";"951";"2";"726911277379431_853917503441600";"empty";"";"fetched (200)";"2024-06-08 21:23:46.387793";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917503441600/726911277379431_853917503441600";"1151";"951";"2";"726911277379431_853917503441600";"offcut";"";"fetched (200)";"2024-06-08 21:23:46.387793";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_853917406774943";"952";"869";"1";"726911277379431_853917406774943";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"";"2024-05-06T14:21:53+0000";"";"";""
